major,gpa,work_exp,admission,application_id
Business,3.15,6.0,,3542
Humanities,3.13,5.0,,1169
Business,3.15,5.0,,486
STEM,3.12,4.0,,2026
Business,3.17,6.0,,4760
Humanities,3.36,4.0,Admit,2349
Business,3.28,5.0,,3825
Humanities,3.02,4.0,Admit,218
Humanities,3.5,5.0,Admit,1651
Humanities,3.25,5.0,,2791
Humanities,3.23,6.0,,4747
STEM,3.32,7.0,Admit,5819
Humanities,3.4,5.0,Admit,1055
Humanities,3.24,5.0,,1572
STEM,3.12,6.0,,2679
STEM,3.07,5.0,,1120
Business,3.3,5.0,,491
Humanities,3.5,5.0,,337
Humanities,3.3,6.0,,6052
Business,3.2,5.0,,5288
Humanities,3.3,5.0,,1185
STEM,3.15,4.0,,3391
Humanities,3.32,5.0,,696
STEM,3.27,5.0,Admit,5853
Humanities,3.13,6.0,,4135
Humanities,3.21,3.0,,300
STEM,3.38,4.0,,3483
Humanities,3.1,5.0,,1844
STEM,3.23,5.0,,333
Humanities,3.2,4.0,,5977
Humanities,3.42,5.0,Admit,6051
Humanities,3.43,5.0,,272
Humanities,3.13,5.0,,5242
Humanities,3.08,6.0,,815
Humanities,3.19,5.0,,4084
Humanities,2.99,5.0,,4932
STEM,3.36,7.0,,6046
Humanities,3.38,5.0,Admit,4965
Humanities,3.25,4.0,Admit,4275
Business,3.2,4.0,,4867
Humanities,3.12,6.0,,1216
Humanities,3.21,5.0,,1090
Business,3.36,5.0,,1131
Humanities,3.15,5.0,,5961
Humanities,3.4,4.0,Admit,4094
Business,2.81,5.0,,1159
Business,2.97,4.0,,1304
STEM,2.96,8.0,,5504
Humanities,3.24,4.0,,2267
Humanities,3.37,4.0,,3846
Humanities,3.19,4.0,Waitlist,468
Humanities,3.4,4.0,,5645
Humanities,3.37,5.0,,3813
Humanities,3.38,6.0,Admit,1340
Humanities,3.32,5.0,,5620
Humanities,3.31,6.0,,1313
Humanities,3.39,4.0,,4468
Humanities,3.5,3.0,,1704
Business,3.17,5.0,Waitlist,820
STEM,3.46,6.0,,4993
Humanities,3.33,5.0,,4632
Humanities,3.03,7.0,,677
Humanities,3.21,4.0,,808
Business,2.97,4.0,,5821
Business,3.23,5.0,,1712
Humanities,3.21,5.0,Admit,660
Humanities,3.31,5.0,Admit,5960
STEM,3.21,2.0,,3482
STEM,3.15,7.0,,988
Humanities,3.2,5.0,,4635
STEM,3.52,5.0,,1952
STEM,3.39,6.0,,4512
Business,3.38,6.0,,695
Business,3.31,6.0,Admit,4901
Humanities,3.04,4.0,,2859
Business,3.09,3.0,,5990
Humanities,3.19,5.0,,5777
Humanities,3.03,5.0,,1335
Business,3.15,5.0,,2895
Humanities,3.02,5.0,,1081
Business,3.31,4.0,,4660
Business,3.27,5.0,Admit,61
STEM,3.31,5.0,,2629
Humanities,3.23,5.0,,2753
Humanities,3.32,5.0,,2953
Humanities,3.28,4.0,,2439
Humanities,3.44,6.0,Admit,2684
STEM,3.08,3.0,,4306
Humanities,3.05,5.0,,1263
STEM,3.08,5.0,,1150
Business,3.24,4.0,,2395
Humanities,3.29,5.0,,5226
STEM,3.29,6.0,Admit,5832
Business,2.97,5.0,,2846
STEM,3.32,5.0,Admit,1033
Humanities,2.97,4.0,,5555
Business,3.25,5.0,,3158
Humanities,3.31,5.0,,4000
Business,3.43,5.0,,2411
Humanities,3.02,4.0,,3417
Humanities,3.27,5.0,Admit,4930
Humanities,3.1,5.0,,894
Humanities,3.33,5.0,Admit,4844
Humanities,3.12,3.0,,1808
Business,3.2,5.0,,5622
STEM,3.17,6.0,,2621
STEM,3.11,5.0,,5692
Business,3.14,4.0,,1321
Humanities,3.29,4.0,,2415
STEM,3.26,6.0,,5177
Humanities,3.51,4.0,,4436
STEM,3.22,5.0,,1243
Humanities,3.4,6.0,,2435
Business,3.36,5.0,,5378
Business,3.43,4.0,,4175
Humanities,3.42,6.0,Admit,365
STEM,3.28,5.0,,3753
STEM,3.03,4.0,,4651
Humanities,3.05,4.0,,4629
STEM,3.13,5.0,,2457
STEM,3.21,5.0,Admit,4145
STEM,3.12,5.0,,2785
Business,2.96,5.0,,4745
STEM,3.2,5.0,,4118
STEM,3.35,6.0,,1733
Humanities,3.5,3.0,,4728
Humanities,3.22,5.0,Admit,3030
Humanities,3.51,4.0,,6106
Humanities,3.13,6.0,,5912
Business,3.36,6.0,Admit,4944
STEM,3.35,5.0,,4854
Business,3.07,4.0,,1979
STEM,3.12,7.0,,2489
STEM,3.37,4.0,,1251
Humanities,3.18,7.0,,5246
Humanities,3.33,6.0,,5646
Business,3.39,6.0,,342
Business,3.42,6.0,,1616
Business,3.24,7.0,,842
Humanities,3.42,5.0,,2157
STEM,3.28,6.0,,2028
Humanities,3.25,6.0,Admit,5014
Humanities,3.43,5.0,,215
Humanities,3.19,4.0,,2870
Humanities,3.5,6.0,,2590
Humanities,3.14,4.0,,2493
Humanities,3.16,5.0,,4981
STEM,3.17,5.0,,1549
Business,3.22,6.0,,2114
STEM,3.37,5.0,,2912
STEM,3.21,6.0,,680
Humanities,3.24,4.0,,6129
Humanities,3.56,6.0,Admit,969
STEM,3.2,4.0,,623
STEM,3.18,6.0,,1365
Humanities,3.05,5.0,,6112
Humanities,3.32,7.0,,5188
Humanities,3.3,5.0,,5129
Business,3.23,4.0,,3624
Business,3.42,6.0,Admit,23
Business,3.35,3.0,,4909
Business,3.08,6.0,,4126
Humanities,3.35,7.0,Admit,765
Humanities,3.02,4.0,,3465
Humanities,3.11,4.0,,1068
STEM,3.16,4.0,,5879
Business,3.33,7.0,,5786
Humanities,3.23,4.0,,5256
Business,3.03,5.0,,2733
Humanities,2.98,4.0,,3346
STEM,3.34,6.0,Admit,4238
STEM,3.11,5.0,,4839
Business,3.24,5.0,,2666
STEM,3.31,3.0,,198
Humanities,3.43,5.0,,2416
Humanities,3.18,6.0,,3679
STEM,3.24,5.0,,2761
Humanities,3.26,5.0,,2185
STEM,3.13,5.0,,1203
Humanities,3.11,6.0,,629
STEM,3.43,5.0,,4794
STEM,3.37,5.0,,4384
Business,3.14,4.0,,5590
STEM,3.33,4.0,,4599
Humanities,3.42,5.0,Admit,2198
STEM,3.35,3.0,,2956
STEM,3.15,5.0,,2556
STEM,3.42,6.0,Admit,928
Business,3.46,6.0,,2298
STEM,3.6,5.0,,6065
STEM,3.28,4.0,,5139
STEM,3.21,5.0,Waitlist,5891
Business,3.18,4.0,,4258
Humanities,3.28,6.0,Admit,135
Business,3.4,6.0,,24
Humanities,3.3,5.0,Admit,2120
Business,3.15,5.0,,2497
Humanities,3.34,5.0,,1112
Humanities,3.35,5.0,Admit,1199
Humanities,3.28,5.0,Admit,1863
Business,3.19,3.0,,1665
Humanities,3.02,4.0,,4502
STEM,3.09,6.0,,1723
STEM,3.16,6.0,,2268
STEM,3.43,3.0,Admit,1513
STEM,3.13,5.0,,5991
STEM,3.03,5.0,Waitlist,862
STEM,3.35,5.0,Admit,1087
STEM,3.47,4.0,,257
Humanities,3.41,5.0,,3152
Humanities,3.13,5.0,,3377
Business,3.32,5.0,,3690
Business,3.19,4.0,,4313
Business,3.12,5.0,,1034
STEM,3.56,5.0,,1739
Humanities,3.41,5.0,,217
STEM,3.07,6.0,,67
STEM,3.18,5.0,,2526
STEM,3.29,6.0,,112
STEM,3.34,3.0,,4375
Humanities,3.37,4.0,,1344
Humanities,3.17,4.0,,4641
Humanities,3.01,3.0,,1853
Business,3.32,5.0,,2406
Business,3.27,4.0,,3252
Humanities,3.09,5.0,,2547
Business,3.26,6.0,Waitlist,51
Business,3.33,3.0,,5981
Business,3.41,7.0,Admit,882
Business,3.16,5.0,,3925
STEM,3.09,4.0,,2739
Humanities,3.27,3.0,,5887
Business,3.21,6.0,,86
Business,3.16,5.0,,296
Business,3.2,5.0,,4412
Humanities,3.01,4.0,,4538
Humanities,3.16,6.0,,6077
Humanities,3.23,5.0,,5341
Humanities,3.11,5.0,,5980
STEM,3.37,4.0,,3148
Business,3.34,6.0,Admit,5019
STEM,3.54,7.0,,4805
Humanities,3.35,6.0,,538
Humanities,3.17,6.0,,1012
Business,3.45,5.0,Admit,803
Humanities,3.49,6.0,Admit,2657
Business,3.23,6.0,,849
Business,3.0,5.0,,5844
Business,3.38,5.0,,2836
Business,3.2,5.0,,3885
Humanities,3.29,6.0,Admit,4031
Humanities,3.19,5.0,,3677
STEM,3.31,6.0,,6125
STEM,3.48,5.0,,3145
STEM,2.91,6.0,,4507
Humanities,3.24,3.0,,3770
Humanities,3.2,7.0,,2607
Humanities,3.35,6.0,,3232
Humanities,3.1,4.0,Waitlist,847
Humanities,3.36,5.0,,2601
Business,3.43,6.0,,841
STEM,3.07,4.0,,5595
Humanities,3.24,6.0,,5810
Humanities,3.24,5.0,,4925
STEM,3.35,4.0,,2642
STEM,3.6,6.0,,3993
Humanities,3.21,3.0,Admit,939
Business,3.49,5.0,,833
STEM,3.16,5.0,,2418
STEM,3.46,3.0,,2336
Humanities,3.38,7.0,,3801
Humanities,3.29,3.0,,1282
Humanities,3.12,6.0,,659
Humanities,3.43,4.0,,643
Humanities,3.21,6.0,,966
Humanities,3.27,6.0,,1355
Business,3.25,5.0,,950
Business,3.32,4.0,Admit,96
Humanities,3.3,5.0,,451
Humanities,3.51,6.0,,2391
Business,3.0,6.0,,3603
Humanities,3.07,5.0,,2433
Humanities,3.17,6.0,,5705
Humanities,2.99,4.0,,4842
STEM,3.38,4.0,,4787
STEM,2.89,4.0,,4611
STEM,3.07,4.0,,2523
Humanities,3.35,5.0,,2758
Humanities,3.32,5.0,,1165
STEM,3.4,6.0,Admit,4190
Humanities,3.36,4.0,,2863
STEM,2.99,3.0,,4823
STEM,3.12,6.0,,5592
Humanities,2.91,5.0,,1833
Humanities,3.37,4.0,,5462
Humanities,3.36,3.0,,3229
STEM,3.03,7.0,,5007
STEM,3.42,4.0,,5268
Humanities,3.28,5.0,,4473
Business,3.11,5.0,,4704
Business,3.23,6.0,,1408
Humanities,3.13,4.0,,1539
STEM,3.33,3.0,,6078
STEM,3.29,3.0,,3908
Business,3.43,4.0,Admit,3309
Humanities,3.23,4.0,,18
Humanities,3.03,5.0,,5396
STEM,3.06,5.0,,3251
Humanities,3.26,6.0,,4587
Humanities,3.07,4.0,,4877
STEM,3.3,4.0,,2536
STEM,3.19,7.0,,2234
Humanities,3.39,6.0,,5436
STEM,3.27,6.0,,2272
Humanities,3.4,4.0,,715
Business,3.29,4.0,,2405
Business,3.13,5.0,,4657
Business,3.12,5.0,,1738
Business,3.24,5.0,,5220
Humanities,3.26,6.0,Admit,2354
Humanities,3.34,6.0,Waitlist,5324
Humanities,3.37,6.0,Admit,471
Humanities,3.37,5.0,,3752
Humanities,3.08,5.0,,1847
Humanities,3.24,4.0,,2335
Humanities,3.34,4.0,,3175
STEM,3.2,6.0,,4217
STEM,3.02,4.0,,587
STEM,3.47,4.0,,5927
Humanities,3.31,4.0,,4986
Humanities,3.41,5.0,Admit,4133
Business,3.11,6.0,,2823
STEM,3.0,4.0,,3548
STEM,3.13,4.0,,4287
STEM,3.47,6.0,,1611
STEM,3.14,6.0,,3151
Humanities,3.29,4.0,,1432
Business,3.24,5.0,,1051
Humanities,3.05,6.0,,6026
STEM,3.26,6.0,Admit,5614
Humanities,3.13,6.0,,6008
Business,2.99,6.0,,4336
Business,3.21,4.0,,2358
Humanities,3.35,5.0,Admit,4612
Business,3.12,4.0,,1043
STEM,3.34,5.0,Waitlist,681
STEM,3.06,7.0,,4286
Business,3.25,6.0,,3602
Humanities,3.17,3.0,,1961
Business,3.37,4.0,,1400
STEM,3.27,6.0,,5299
STEM,3.41,4.0,,1245
STEM,3.23,5.0,,220
Business,3.33,3.0,,4445
Humanities,3.29,6.0,,422
Business,3.36,5.0,Admit,1718
Business,3.21,5.0,,4802
STEM,3.19,5.0,,1246
STEM,3.3,5.0,,1657
Business,3.08,4.0,,5156
STEM,3.35,4.0,,2329
Business,2.95,4.0,,5521
Humanities,3.62,6.0,Admit,5134
STEM,3.23,5.0,,2949
STEM,3.2,4.0,,2063
STEM,3.49,4.0,Waitlist,2522
Humanities,3.27,5.0,,4358
Humanities,3.53,5.0,Admit,2137
Business,3.13,7.0,,5137
Humanities,3.26,4.0,,752
STEM,3.32,4.0,,2081
STEM,3.52,5.0,Admit,868
Business,3.6,6.0,,4481
STEM,3.1,5.0,,2337
Business,3.27,4.0,,3275
Business,3.26,5.0,,3504
STEM,3.13,5.0,,1583
Business,2.98,7.0,,291
STEM,3.15,6.0,,1846
STEM,3.14,3.0,,6020
Humanities,3.23,6.0,,2938
Humanities,3.51,6.0,,4518
Business,3.43,5.0,,5701
Humanities,3.48,5.0,Admit,5231
STEM,3.2,7.0,,1576
Business,3.05,7.0,,2833
Humanities,3.31,4.0,,5054
Business,3.41,3.0,,1210
Business,3.3,4.0,,4736
Humanities,3.32,5.0,,1722
Business,3.17,4.0,,4055
Humanities,3.26,5.0,,480
Humanities,3.62,6.0,,2942
Humanities,3.11,5.0,,5543
STEM,3.4,6.0,Admit,2775
Business,3.63,5.0,Admit,2584
Business,2.88,6.0,,2586
Humanities,3.52,6.0,Admit,1505
Business,3.07,6.0,,662
Business,3.23,5.0,,1413
Business,3.04,5.0,,2890
Humanities,3.46,7.0,,362
STEM,3.42,5.0,,6165
Business,3.31,7.0,,5264
Humanities,3.16,5.0,,1077
Business,3.35,5.0,Admit,209
STEM,3.16,5.0,,348
Business,3.12,3.0,,501
Humanities,3.14,6.0,,3983
Business,3.46,4.0,,1592
STEM,3.15,4.0,,5364
Humanities,3.53,5.0,,1161
Business,3.27,6.0,,5106
Humanities,3.07,5.0,,5885
Business,3.17,6.0,,4897
Business,3.18,7.0,,2438
STEM,3.35,5.0,,3466
Humanities,3.37,4.0,,1482
Business,3.11,4.0,,4780
Humanities,3.31,4.0,,4264
Humanities,3.14,6.0,,2454
STEM,3.05,6.0,,3856
STEM,3.23,3.0,,2551
Humanities,3.16,7.0,,3315
STEM,3.19,4.0,,3420
Humanities,2.98,3.0,,3735
Humanities,3.38,5.0,,1467
Humanities,3.49,5.0,,2952
Humanities,3.48,5.0,,1696
Humanities,3.41,6.0,Admit,1009
STEM,3.28,5.0,,4591
STEM,3.35,4.0,,4863
Business,3.26,6.0,,3371
STEM,3.09,4.0,,3785
Business,3.33,4.0,,3224
Humanities,3.26,3.0,,4889
STEM,3.12,5.0,,4594
Humanities,3.13,6.0,,3921
Humanities,3.09,3.0,,4912
STEM,3.3,3.0,,2987
STEM,3.24,6.0,,4983
STEM,3.32,6.0,,2088
Business,3.4,5.0,,4184
STEM,3.5,5.0,,37
Business,3.23,4.0,,5073
Humanities,3.3,4.0,,3659
Business,3.35,4.0,,3454
STEM,3.28,5.0,,1284
Business,3.19,5.0,,457
Business,3.3,5.0,,6181
Humanities,3.17,4.0,,5776
STEM,3.1,5.0,,5306
Business,2.98,5.0,,4979
STEM,3.41,4.0,Waitlist,813
STEM,3.58,5.0,Admit,1377
STEM,3.19,6.0,,6111
Business,3.32,5.0,,3028
Business,3.46,5.0,,463
STEM,3.19,5.0,,846
STEM,3.13,4.0,,1399
STEM,3.27,5.0,Admit,4770
Business,3.39,5.0,,5429
Humanities,3.07,6.0,,4482
Humanities,3.27,5.0,Admit,5698
STEM,3.06,5.0,,3811
Humanities,3.31,3.0,,5475
Business,3.58,6.0,Admit,1454
Business,3.44,4.0,,2807
Business,3.26,4.0,,5579
Business,3.37,6.0,,5563
Humanities,3.29,4.0,,1133
Humanities,3.46,7.0,,4379
Business,3.27,4.0,,5278
Humanities,3.04,7.0,,3481
STEM,3.33,6.0,,2685
Business,3.14,2.0,,288
Business,3.13,4.0,,3385
Humanities,3.32,4.0,,5097
Humanities,3.22,5.0,,5889
Business,3.31,5.0,,4907
Business,3.39,4.0,,2496
Business,3.58,4.0,,5650
STEM,3.24,4.0,Admit,225
Humanities,3.32,4.0,,2613
STEM,3.2,7.0,,2505
Business,3.09,5.0,,4942
Humanities,2.85,4.0,,12
Humanities,3.35,4.0,,3054
Business,3.25,5.0,,1352
STEM,3.28,4.0,,1845
STEM,2.93,4.0,,3928
Humanities,3.33,5.0,,1404
Humanities,3.44,5.0,,444
STEM,3.19,4.0,,5366
Business,3.28,6.0,Admit,1770
Humanities,3.18,4.0,,758
STEM,3.41,5.0,,3992
STEM,3.22,7.0,Admit,2117
Business,3.24,4.0,,1312
Business,3.2,5.0,,1121
Humanities,3.2,8.0,,3924
Business,3.12,4.0,,5637
Humanities,3.16,5.0,Admit,370
Business,3.0,4.0,,2639
STEM,3.35,5.0,Admit,347
STEM,3.11,6.0,Admit,379
Humanities,3.15,5.0,,4676
STEM,3.22,5.0,,3149
Business,3.36,7.0,,2909
Business,3.47,5.0,,824
STEM,3.45,5.0,Admit,3836
Business,3.32,6.0,,5015
STEM,3.31,6.0,,1385
Humanities,3.18,4.0,,4976
Humanities,3.26,6.0,,5676
STEM,3.01,5.0,,1604
STEM,3.15,4.0,,1506
Humanities,3.4,6.0,,4689
STEM,3.36,4.0,Admit,4505
STEM,3.34,5.0,Admit,5308
STEM,3.19,5.0,,6158
Humanities,3.43,5.0,,598
Business,3.37,7.0,,1425
Business,3.51,6.0,Admit,3177
STEM,3.14,6.0,,2098
Humanities,3.14,6.0,,3905
STEM,3.13,5.0,,1208
Humanities,2.94,5.0,,2660
Humanities,3.26,5.0,,3637
STEM,3.33,6.0,,5029
STEM,3.26,5.0,,1910
Business,3.2,6.0,,5690
Humanities,3.35,5.0,Admit,3594
STEM,3.22,5.0,,6060
STEM,3.04,5.0,,247
Humanities,3.34,6.0,Admit,4102
Business,3.25,6.0,,2560
STEM,3.26,3.0,,5185
Business,3.61,5.0,,201
Humanities,3.22,6.0,,763
Humanities,3.11,5.0,,3055
Business,3.13,7.0,,869
STEM,3.34,5.0,,71
STEM,3.54,5.0,Admit,3342
Humanities,3.13,4.0,,2078
STEM,3.14,5.0,,6037
STEM,3.23,6.0,,3429
STEM,3.15,5.0,,4440
Humanities,3.13,5.0,,4940
Business,3.25,4.0,Admit,3050
Humanities,3.26,5.0,,3990
STEM,3.23,7.0,,3906
Humanities,3.32,4.0,,1610
Humanities,3.07,5.0,,3109
Business,3.01,7.0,,335
STEM,3.4,5.0,Admit,1356
Business,3.19,5.0,,919
Humanities,3.27,5.0,,6166
STEM,3.47,8.0,,1868
STEM,3.1,5.0,,144
Humanities,3.11,4.0,,2190
Humanities,3.23,5.0,Admit,854
Business,3.36,4.0,,2564
Business,3.33,6.0,,4708
Business,3.24,6.0,,5532
Humanities,3.52,7.0,,3635
STEM,3.18,4.0,,290
Humanities,3.03,6.0,,1560
Humanities,3.46,4.0,,3673
Humanities,3.32,5.0,,3508
Business,3.22,5.0,,3901
Humanities,3.28,5.0,,5871
Business,3.18,6.0,,4428
STEM,2.94,4.0,,4026
Business,3.1,5.0,,3936
Business,3.44,6.0,,4793
STEM,3.11,5.0,,506
STEM,3.29,5.0,,1566
Business,3.37,5.0,,951
STEM,3.14,5.0,,4405
Humanities,3.24,7.0,,160
Humanities,3.29,5.0,,2955
STEM,3.31,6.0,Waitlist,2700
Business,3.37,4.0,,4271
Humanities,3.32,6.0,,2082
STEM,3.26,4.0,,3072
Business,3.4,4.0,,1195
STEM,3.03,4.0,,2113
Business,3.43,3.0,Admit,167
Business,3.24,6.0,,3469
Humanities,3.21,3.0,,5283
Humanities,3.36,6.0,,1854
Business,3.42,6.0,,2350
Business,3.06,5.0,,5892
Humanities,3.41,5.0,Admit,5166
Business,3.19,5.0,,53
Humanities,3.29,4.0,,2201
Business,3.27,5.0,,3019
Humanities,2.99,5.0,,606
STEM,3.24,3.0,,5947
Humanities,3.03,3.0,,3671
Business,3.07,6.0,,3452
Humanities,3.27,5.0,Admit,5227
STEM,3.31,4.0,Admit,4219
Humanities,3.4,7.0,,3203
Humanities,3.33,3.0,,6005
Business,3.46,5.0,,1635
Humanities,3.33,4.0,,4103
Business,3.15,5.0,,6025
Business,3.32,6.0,,651
Humanities,3.24,7.0,,5894
Humanities,3.33,6.0,,3622
Business,3.29,4.0,Admit,5744
Business,3.34,4.0,,3403
Humanities,3.17,6.0,,4317
Humanities,3.13,5.0,,2778
Humanities,3.07,6.0,,4577
Humanities,3.22,4.0,,4643
Humanities,3.23,4.0,,918
Humanities,2.99,5.0,,3788
STEM,3.02,5.0,,5091
STEM,3.53,5.0,Admit,34
STEM,3.25,5.0,,1107
Humanities,3.25,6.0,,4369
Humanities,3.28,5.0,,2414
STEM,3.28,6.0,,2192
Humanities,3.34,5.0,,3572
Humanities,2.94,5.0,,5107
Business,3.48,5.0,,3595
Business,3.23,4.0,Admit,654
STEM,3.08,4.0,,5837
Business,3.04,4.0,,3326
Business,3.24,6.0,Admit,214
Humanities,3.35,5.0,,3432
STEM,3.2,6.0,,141
Humanities,3.14,5.0,,213
STEM,3.28,5.0,,267
STEM,3.35,5.0,Admit,2467
STEM,3.3,6.0,Admit,2802
STEM,3.28,3.0,,4310
Business,3.48,5.0,,1561
Humanities,3.22,4.0,,2282
Humanities,3.18,4.0,,3499
STEM,2.91,5.0,,5099
Humanities,3.18,6.0,,3013
Business,3.34,4.0,Admit,392
Business,3.2,3.0,,1058
Business,3.36,6.0,,4047
STEM,2.97,6.0,,176
Business,3.15,5.0,,2061
Humanities,3.24,5.0,,3699
Business,3.14,5.0,,6100
Humanities,3.22,5.0,Admit,5477
Business,3.39,5.0,,4891
Humanities,2.96,4.0,,5237
Humanities,3.15,4.0,,2034
Humanities,3.15,5.0,,2060
STEM,3.33,5.0,,2248
Humanities,3.34,5.0,Admit,270
Humanities,3.37,4.0,,3426
Business,3.14,3.0,,3435
Business,3.12,6.0,,5721
Humanities,3.33,5.0,,4098
Humanities,3.13,7.0,,3361
STEM,3.12,5.0,,2180
STEM,3.14,6.0,,3140
Humanities,3.03,5.0,,4362
Humanities,3.64,5.0,,2238
Humanities,3.41,5.0,,3739
Business,3.08,6.0,,6002
Business,2.98,5.0,,5444
Humanities,3.31,5.0,,2842
Humanities,3.44,6.0,,2535
Humanities,3.24,4.0,,1788
Humanities,3.21,4.0,,4588
STEM,3.46,5.0,,5551
STEM,3.43,5.0,,6119
Humanities,3.32,6.0,,2375
Humanities,3.3,6.0,,2376
Humanities,2.99,6.0,Admit,292
Humanities,3.45,5.0,,3662
Humanities,3.42,6.0,,6081
Humanities,3.05,5.0,,2512
Humanities,3.08,5.0,,462
Humanities,3.32,7.0,,2901
STEM,3.24,5.0,,3139
Business,3.21,3.0,,2561
STEM,3.16,5.0,,5994
Business,3.04,4.0,,901
Humanities,3.18,5.0,,6023
Humanities,3.12,7.0,,1191
Business,3.13,5.0,,3672
STEM,3.04,4.0,,31
STEM,3.33,5.0,Admit,6138
Humanities,3.51,6.0,Admit,3486
Humanities,3.18,4.0,,4725
Humanities,3.5,6.0,Admit,548
Business,3.3,5.0,,3007
Business,3.54,5.0,,4495
STEM,3.47,7.0,Admit,1346
STEM,3.33,5.0,Admit,935
STEM,3.08,5.0,,5108
Humanities,3.18,3.0,,2202
Humanities,3.32,6.0,,2134
Business,3.39,3.0,,423
Humanities,3.47,4.0,,5186
Business,3.2,6.0,,1988
STEM,3.33,5.0,Waitlist,6089
Humanities,3.18,4.0,,5109
Humanities,3.3,6.0,,690
Business,3.41,6.0,,2019
Humanities,3.36,5.0,,5938
Humanities,3.41,3.0,,3926
Business,3.08,4.0,,881
Humanities,3.18,4.0,,5074
Business,3.13,5.0,,1559
STEM,3.19,6.0,,4442
Business,3.26,4.0,,6159
STEM,3.56,5.0,Waitlist,5836
STEM,3.13,4.0,,1624
Business,3.25,7.0,,2918
Business,3.34,5.0,,5110
Humanities,3.05,6.0,,3448
STEM,3.4,4.0,Admit,2148
Humanities,3.13,5.0,,2097
Business,3.42,5.0,,5154
Humanities,3.19,5.0,,1985
Business,3.35,5.0,,5270
Humanities,3.55,4.0,,3263
Humanities,3.26,5.0,Admit,1018
Business,3.04,5.0,,4050
Business,3.29,4.0,,4564
Humanities,3.38,5.0,Admit,3411
Business,3.04,6.0,Admit,558
Business,3.27,4.0,,5584
Business,3.25,4.0,,3676
Humanities,3.17,5.0,,1217
STEM,3.54,5.0,,1478
Humanities,3.3,6.0,,5076
Humanities,3.41,4.0,,2779
Humanities,3.13,7.0,,1571
Business,3.47,5.0,,1801
Humanities,3.16,7.0,,804
Humanities,3.27,5.0,,3353
STEM,3.33,3.0,,259
Business,3.42,4.0,Waitlist,6035
Business,3.33,4.0,,4774
Humanities,3.06,5.0,,2815
Humanities,3.25,6.0,,124
Humanities,3.22,6.0,,3488
STEM,3.21,6.0,,2531
Business,3.13,6.0,,1877
STEM,3.2,5.0,,4010
Humanities,3.14,6.0,,1690
Business,3.38,4.0,,3996
Humanities,3.32,6.0,Admit,5855
STEM,3.19,5.0,Admit,594
STEM,3.34,8.0,,233
STEM,3.27,6.0,Admit,1859
Humanities,3.24,6.0,Waitlist,13
Business,3.13,7.0,,1140
Humanities,3.67,6.0,Admit,3443
Humanities,3.37,4.0,Admit,2107
Business,3.34,5.0,,1086
Business,3.49,4.0,,4929
Humanities,3.02,5.0,,2466
STEM,3.33,7.0,Admit,48
STEM,3.39,4.0,,5178
STEM,3.03,5.0,,164
Business,3.05,6.0,,1429
STEM,3.11,3.0,,2407
STEM,3.19,4.0,,4924
Business,3.5,8.0,,5897
STEM,3.07,6.0,,4072
Business,3.25,4.0,,2077
Business,3.18,5.0,,2130
Humanities,3.3,5.0,Admit,5771
Humanities,3.31,6.0,,5140
STEM,3.2,6.0,,4176
Business,3.41,6.0,Admit,4411
Humanities,3.29,5.0,Admit,1239
Humanities,3.32,4.0,,149
Business,3.2,5.0,,2403
Humanities,3.3,4.0,,251
Business,3.21,6.0,,6145
STEM,3.43,4.0,,542
Humanities,3.14,3.0,,2444
Business,3.31,5.0,,1710
Humanities,3.32,5.0,,5596
STEM,3.28,5.0,,4921
STEM,3.12,6.0,,5207
Humanities,3.18,6.0,,4489
Humanities,3.24,5.0,,3214
STEM,3.24,6.0,,3439
Humanities,3.25,3.0,,5564
STEM,2.95,4.0,,1184
STEM,3.05,6.0,,6171
Humanities,3.38,4.0,Admit,4030
Business,3.24,6.0,,3985
STEM,3.21,5.0,,5305
Business,3.26,5.0,,3849
STEM,3.13,6.0,,4261
Humanities,3.28,5.0,,1171
Humanities,2.97,4.0,,2357
Humanities,3.49,7.0,,5037
Humanities,3.39,6.0,,5629
Business,3.13,6.0,,1106
STEM,3.07,6.0,,4027
Humanities,3.09,6.0,Admit,352
Business,3.21,6.0,,2195
STEM,3.23,4.0,,2702
STEM,3.03,4.0,,2100
Humanities,3.14,4.0,,5970
Business,3.17,4.0,,3969
Business,3.21,5.0,,5217
Humanities,3.24,5.0,Admit,754
Humanities,3.15,5.0,,5969
Humanities,3.32,6.0,,3510
Humanities,3.44,5.0,,4506
Humanities,3.36,4.0,,4668
Humanities,3.28,5.0,,5116
Business,3.24,5.0,,1879
Humanities,3.06,6.0,,3155
Business,3.28,5.0,,2928
Humanities,3.34,5.0,Admit,4144
STEM,3.29,6.0,,4733
Business,3.28,6.0,,3942
STEM,3.26,4.0,Admit,719
STEM,3.33,5.0,,6185
Humanities,3.24,7.0,,1261
Business,2.99,4.0,,4575
Humanities,3.31,6.0,Admit,1973
Business,3.09,7.0,,714
Humanities,3.09,5.0,,4807
STEM,3.27,4.0,,5651
Humanities,3.3,4.0,Admit,5528
Business,3.03,5.0,,1510
Humanities,3.37,4.0,,327
STEM,3.37,5.0,,6144
STEM,3.55,5.0,,4987
Humanities,3.58,4.0,,6174
Business,3.15,5.0,,5482
Humanities,3.21,4.0,,3835
Humanities,3.56,6.0,,6000
STEM,3.4,7.0,Admit,3792
Humanities,3.09,5.0,,4298
STEM,3.17,5.0,,5250
